"Données extraites de la PhyC le 07/02/2020 à 14:19:06 TU","Serie de mesure : O004402001 | Station Hydro : La Pique à Bagnères-de-Luchon | Hauteurs | Les plus valides | du 01/06/2013 00:00 au 31/07/2013 23:59"
"Date (TU)","Valeur (mm)",Qualification,Méthode,Continuité
"18/06/2013 06:30",3420,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 06:45",3540,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 07:00",3500,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 07:15",3550,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 07:30",3440,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 07:45",3400,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 08:00",3500,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 08:15",3620,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 08:30",3700,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 08:45",3720,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 09:00",3680,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 09:15",3820,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 09:30",3780,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 09:45",3840,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 10:00",3800,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 10:15",3870,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 10:30",3920,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 10:45",3980,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 11:00",3920,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 11:15",3940,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 11:30",3980,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 11:45",4030,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 12:00",3970,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 12:15",4050,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 12:30",4010,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 12:45",3990,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 13:00",4000,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 13:15",4020,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 13:30",3990,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 13:45",4010,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 14:00",4000,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 14:15",3900,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 14:30",4000,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 14:45",3920,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 15:00",3910,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 15:15",3890,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 15:30",3900,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 15:45",3950,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 16:00",3820,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 16:15",3850,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 16:30",3810,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 16:45",3850,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 17:00",3780,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 17:15",3820,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 17:30",3790,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 17:45",3720,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 18:00",3750,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 18:15",3750,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 18:30",3680,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 18:45",3680,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 19:00",3590,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 19:15",3640,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 19:30",3620,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 19:45",3570,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 20:00",3590,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 20:15",3560,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 20:30",3540,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 20:45",3540,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 21:00",3480,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 21:15",3460,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 21:30",3370,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 21:45",3370,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 22:00",3390,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 22:15",3340,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 22:30",3360,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 22:45",3300,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 23:00",3300,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 23:15",3250,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 23:30",3240,"Valeur non qualifiée",Mesure,Oui
"18/06/2013 23:45",3190,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 00:00",3240,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 00:15",3310,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 00:30",3230,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 00:45",3200,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 01:00",3280,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 01:15",3270,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 01:30",3210,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 01:45",3160,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 02:00",3160,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 02:15",3140,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 02:30",3150,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 02:45",3150,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 03:00",3120,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 03:15",3080,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 03:30",3070,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 03:45",3030,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 04:00",3010,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 04:15",2980,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 04:30",2960,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 04:45",2950,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 05:00",2950,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 05:15",2900,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 05:30",2920,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 05:45",2950,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 06:00",2920,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 06:15",2930,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 06:30",2890,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 06:45",2830,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 07:00",2830,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 07:15",2820,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 07:30",2820,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 07:45",2830,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 08:00",2780,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 08:15",2760,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 08:30",2820,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 08:45",2850,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 09:00",2750,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 09:15",2760,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 09:30",2800,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 09:45",2780,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 10:00",2800,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 10:15",2740,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 10:30",2730,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 10:45",2750,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 11:00",2650,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 11:15",2670,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 11:30",2670,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 11:45",2620,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 12:00",2670,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 12:15",2680,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 12:30",2660,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 12:45",2650,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 13:00",2550,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 13:15",2600,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 13:30",2610,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 13:45",2510,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 14:00",2570,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 14:15",2650,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 14:30",2530,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 14:45",2630,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 15:00",2650,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 15:15",2470,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 15:30",2530,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 15:45",2620,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 16:00",2580,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 16:15",2610,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 16:30",2600,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 16:45",2600,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 17:00",2550,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 17:15",2570,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 17:30",2590,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 17:45",2570,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 18:00",2560,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 18:15",2550,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 18:30",2490,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 18:45",2530,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 19:00",2500,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 19:15",2510,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 19:30",2640,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 19:45",2610,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 20:00",2480,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 20:15",2430,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 20:30",2540,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 20:45",2550,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 21:00",2490,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 21:15",2450,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 21:30",2420,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 21:45",2520,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 22:00",2480,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 22:15",2470,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 22:30",2460,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 22:45",2480,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 23:00",2470,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 23:15",2450,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 23:30",2440,"Valeur non qualifiée",Mesure,Oui
"19/06/2013 23:45",2440,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 00:00",2410,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 00:15",2340,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 00:30",2360,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 00:45",2430,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 01:00",2410,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 01:15",2470,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 01:30",2390,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 01:45",2560,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 02:00",2420,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 02:15",2460,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 02:30",2400,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 02:45",2460,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 03:00",2370,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 03:15",2480,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 03:30",2450,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 03:45",2450,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 04:00",2290,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 04:15",2280,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 04:30",2370,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 04:45",2480,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 05:00",2350,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 05:15",2360,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 05:30",2320,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 05:45",2420,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 06:00",2310,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 06:15",2410,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 06:30",2410,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 06:45",2420,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 07:00",2310,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 07:15",2360,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 07:30",2290,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 07:45",2240,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 08:00",2320,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 08:15",2370,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 08:30",2380,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 08:45",2330,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 09:00",2410,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 09:15",2330,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 09:30",2410,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 09:45",2350,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 10:00",2350,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 10:15",2340,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 10:30",2320,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 10:45",2330,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 11:00",2370,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 11:15",2220,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 11:30",2230,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 11:45",2310,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 12:00",2360,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 12:15",2320,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 12:30",2300,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 12:45",2270,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 13:00",2290,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 13:15",2360,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 13:30",2320,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 13:45",2310,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 14:00",2240,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 14:15",2250,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 14:30",2240,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 14:45",2250,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 15:00",2250,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 15:15",2310,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 15:30",2380,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 15:45",2340,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 16:00",2330,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 16:15",2330,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 16:30",2210,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 16:45",2240,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 17:00",2210,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 17:15",2240,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 17:30",2220,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 17:45",2400,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 18:00",2240,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 18:15",2280,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 18:30",2210,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 18:45",2190,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 19:00",2230,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 19:15",2250,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 19:30",2260,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 19:45",2210,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 20:00",2160,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 20:15",2270,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 20:30",2330,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 20:45",2240,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 21:00",2270,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 21:15",2290,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 21:30",2180,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 21:45",2300,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 22:00",2250,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 22:15",2190,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 22:30",2190,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 22:45",2160,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 23:00",2190,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 23:15",2190,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 23:30",2130,"Valeur non qualifiée",Mesure,Oui
"20/06/2013 23:45",2150,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 00:00",2200,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 00:15",2210,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 00:30",2110,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 00:45",2160,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 01:00",2140,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 01:15",2210,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 01:30",2140,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 01:45",2200,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 02:00",2180,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 02:15",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 02:30",2190,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 02:45",2240,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 03:00",2170,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 03:15",2160,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 03:30",2130,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 03:45",2140,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 04:00",2160,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 04:15",2190,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 04:30",2170,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 04:45",2140,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 05:00",2160,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 05:15",2170,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 05:30",2190,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 05:45",2130,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 06:00",2140,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 06:15",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 06:30",2170,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 06:45",2180,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 07:00",2140,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 07:15",2150,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 07:30",2130,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 07:45",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 08:00",2110,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 08:15",2140,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 08:30",2130,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 08:45",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 09:00",2150,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 09:15",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 09:30",2110,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 09:45",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 10:00",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 10:15",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 10:30",2130,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 10:45",2110,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 11:00",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 11:15",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 11:30",2130,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 11:45",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 12:00",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 12:15",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 12:30",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 12:45",2110,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 13:00",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 13:15",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 13:30",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 13:45",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 14:00",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 14:15",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 14:30",2110,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 14:45",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 15:00",2110,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 15:15",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 15:30",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 15:45",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 16:00",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 16:15",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 16:30",2110,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 16:45",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 17:00",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 17:15",2120,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 17:30",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 17:45",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 18:00",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 18:15",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 18:30",2070,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 18:45",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 19:00",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 19:15",2080,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 19:30",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 19:45",2110,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 20:00",2080,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 20:15",2080,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 20:30",2080,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 20:45",2070,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 21:00",2080,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 21:15",2080,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 21:30",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 21:45",2080,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 22:00",2070,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 22:15",2110,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 22:30",2080,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 22:45",2070,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 23:00",2080,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 23:15",2100,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 23:30",2090,"Valeur non qualifiée",Mesure,Oui
"21/06/2013 23:45",2090,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 00:00",2100,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 00:15",2080,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 00:30",2090,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 00:45",2090,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 01:00",2090,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 01:15",2090,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 01:30",2070,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 01:45",2050,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 02:00",2080,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 02:15",2050,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 02:30",2080,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 02:45",2090,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 03:00",2070,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 03:15",2070,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 03:30",2030,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 03:45",2050,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 04:00",2060,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 04:15",2050,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 04:30",2040,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 04:45",2050,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 05:00",2040,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 05:15",2020,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 05:30",2030,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 05:45",2030,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 06:00",2020,"Valeur non qualifiée",Mesure,Oui
"22/06/2013 06:15",2040,"Valeur non qualifiée",Mesure,Oui
